da	As(mm2)	H	SL	D	W	T	e	S	Phi_e	N1	N2	Washer Plate
10	58	0	0	0	0	0	19.6	17	20	15	25	2
12	84.3	0	0	0	0	0	21.9	19	24	20	35	2.5
16	157	320	280	43	70	15	27.7	24	30	25	40	3
20	245	420	380	43	70	15	34.6	30	37	30	50	3
24	324	460	410	68	110	25	41.6	36	44	35	60	4
30	561	570	510	68	110	25	53.1	46	56	45	75	4
36	817	685	615	82	110	25	63.5	55	66	55	90	5
42	1120	800	720	82	150	30	75	65	78	70	110	7
48	1470	920	820	92	150	30	86.5	75	92	80	125	8
56	2030	1070	960	92	200	40	98	85	105	90	145	9
64	2680	1400	1100	92	200	40	110	95	115	100	160	9
72	3460	1375	1225	100	250	45	121	105	125	110	180	10
80	4340	1510	1350	100	250	50	133	115	140	125	200	12
90	5590	1720	1530	150	300	50	150	130	160	150	240	12
100	6990	1910	1700	150	300	50	167	145	175	160	260	14
